,title,content,date,nickName
0,친구를 원합니다,나이 기준이 있나요?  알고 덤벼 보고싶네요,2024-05-26 14:38,kim
1,노을같은친구,"그냥. 여행다니고. 가끔 술. 한잔할 친구를 원합니다
",2024-05-26 14:45,kim
2,같은 지역분들 반가워요,가까운 곳에 사시는 분과 소통하며 일상을 보내고 싶네요,2024-05-26 14:46,살리에르
3,,봉숭아 봉숭아 봉숭아,2024-05-26 15:03,바다로
4,,충북 괴산,2024-05-26 16:51,젬
5,가입인사,"안녕하세요?
처음 가입합니다.
잘 부탁드려요.",2024-05-26 17:26,mjtc
6,친구,대화친구가 필요합니다^^,2024-05-26 17:34,행복하세요
7,친구가 되고파.  친구가그리워~,진정한 친구를 찾고싶네요~~,2024-05-26 17:37,행복하세요
8,친구 찾고파,용기내어   가입합니다,2024-05-26 17:40,행복하세요
9,안녕하세요,"좋은날
좋은사람들과
좋은만남 갖고싶습니다",2024-05-26 17:53,쫑이
10,무엇을올려야할까요,"안녕하세요.
저는70대절반나인대.
가입이가능한지요?",2024-05-26 18:18,봉화산
11,반가워요,누군가를 만난다는건 가슴 설레이는일이겠죠~~~,2024-05-26 19:12,초콜릿
